Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1546,-636,1000,81.41326549482754,2.0790251224509686,1.4090707762192676
1547,-954,1000,57.86284690048319,1.5947704388781219,1.0533291677535745
1544,-10,1000,117.2072865592902,2.3836361458108164,0.36428456736019893
1545,-318,1000,105.002166803502,2.296717271554289,0.8430783988317067
1542,4770,1500,11.282935680751045,1.3175653908896836,0.11581646087986874
1543,5247,1500,8.527808904344466,1.3872076419926047,0.7008478674423931
1540,3816,1500,15.383231554936465,1.3129534141102306,2.016065053103368
1541,4293,1500,13.088262383367518,1.420773944521782,2.4722882314429917
1526,-2862,1500,23.313338037341982,1.4454220023722166,0.7343211860328166
1548,-1272,1000,42.204435086978265,1.4298934777600176,0.5255372792740299
1549,-1590,1000,30.879474406488253,1.570951126911554,0.8491766727685163
1527,-3339,1500,17.231304952832755,1.3698295403447314,0.2866836329379618
1468,7640,3000,12.585518962987237,1.3432885665576295,2.977423784273654
1465,4775,3000,26.735875254357293,1.5360544196359291,0.745472204029864
1464,3820,3000,40.34431191208305,1.500452639606865,0.7929881126225352
1467,6685,3000,15.994532266914698,1.475185753435385,0.8431306555103796
1466,5730,3000,20.185970902445384,1.5244920134377105,1.5974455938574623
1461,955,3000,96.85451698741879,2.041902686837108,0.3544005607067595
1460,10,3000,108.88023793337878,2.3223504830314474,1.0583197298383895
1463,2865,3000,55.37740544687362,1.5371263338921128,0.8600190922847183
1462,1910,3000,74.0655887237428,1.8396405965704343,1.4896910226035802
1490,4770,2500,20.851837472137955,1.369931234925331,1.0253398498466009
1491,5565,2500,16.817930641299746,1.4141647808177242,0.7765236858933667
1492,6360,2500,13.94805858328859,1.3771984261150954,1.9378674816681156
1493,7155,2500,9.63776713861838,1.3677639325182311,2.4710955665291348
1494,7950,2500,9.162102999506729,1.3049895194867889,1.373798875539897
1496,-10,2000,112.56409565006871,2.511094521536873,0.677669658662955
1497,-636,2000,103.84086954939507,2.4526269263375116,0.2979579762847902
1498,-1272,2000,74.95562925570934,1.9112034717411204,0.739227307428715
1499,-1908,2000,55.79853263209873,1.8804517724705414,1.6301464607377396
1551,-2226,1000,20.233281951070456,1.4539187475145825,0.6386903426939742
1550,-1908,1000,25.210832896675466,1.4267581700684593,1.8456080159394477
1553,-2862,1000,13.733235471061686,1.3251174923902007,0.7361083634219158
1552,-2544,1000,15.598122806688856,1.2935028860363627,1.7993204254109278
1555,-3498,1000,10.295886321305789,1.333654338839146,1.7081030192865232
1554,-3180,1000,9.837423794795562,1.3167844877066261,2.0030830851181545
1557,318,1000,107.05916694019905,2.2235191218651056,0.1054237132553063
1556,10,1000,117.32461168932777,2.554639313880407,0.4798468238668421
1559,954,1000,62.00017156776465,1.6460145930858308,0.43211551822714106
1528,-3816,1500,15.033235270463246,1.508563832638848,0.23355554868597006
1529,-4293,1500,11.625616377132879,1.2197582872696744,2.7472975820413006
1418,954,500,26.7494969734668,1.413580526951924,0.18523723432848963
1419,1113,500,21.856350476016846,1.3374622471888735,1.3255726599705413
1566,3180,1000,11.790175215913258,1.4995556315784806,1.2481086357437032
1558,636,1000,82.25093662624663,1.7991670034172635,0.0690093479765838
1410,-1590,500,13.23304963369875,1.375038767813875,0.1705364363332851
